,Watched Anime,First Recommendation,Second Recommendation,Third Recommendation
1332,Love Forever,Silent Chaser Kagami,Tsuki Kagerou,Yagami Yuu
1333,Maids in Dream,Kacchikenee!,Asura Cryin&#039;,Kakyuusei 2: Sketchbook
1334,Megami Kyouju,Jigoku Sensei Nube (Movie),Sukeban Deka,Kara no Kyoukai 3: Tsuukaku Zanryuu
1335,Onmyouji: Youen Emaki,Bible Black: New Testament,Angel Cop,Ghost in the Shell 2: Innocence
1336,Ryoujoku Joshi Gakuen,Yobai Suru Shichinin no Harame,Kunoichi Sakuya,Enkou Shoujo: Rikujoubu Yukki no Baai The Animation
1337,True Blue: Gaiden,Binetsukko ♭37℃ The Animation,Kakyuusei 2: Anthology,Chibo
1338,Yuuguu Settai: Kotou no Gokuraku e Youkoso,Watashi ga Toriko ni Natte Yaru,Shiofuki Mermaid,Joshikousei no Koshitsuki
1339,Blood Royale,One Piece Film: Z,Uchuu Kaizoku Sara,Grendizer: Getter Robo G - Great Mazinger Kessen! Daikaijuu
1340,Guy: Youma Kakusei,Totsugeki! Pappara-tai,Kinkyuu Hasshin Saver Kids,Gungrave
1341,Midnight Panther,Yuuwaku Countdown,Dragon Pink,Battle Can²
1342,Choujin Densetsu Urotsukidouji 5: Kanketsu-hen,Duel Masters VSRF,Aquarion Logos,Kyou kara Maou! 3rd Series
1343,Fuurinkanzan,Houkago Renai Club: Koi no Étude,Kuro no Kyoushitsu,Kyonyuu Try!: Tanki Shuuchuu Chichi Momi Lesson
1344,Kamyla,Mobile Police Patlabor: WXIII,Switch,Angel Cop
1345,Love² Police,Nagato Yuki-chan no Shoushitsu: Owarenai Natsuyasumi,Bakuon!! OVA,Itsuka Tenma no Kuro Usagi OVA
1346,Stratosphera no Yousei,Kafun Shoujo Chuuihou! The Animation,Urusei Yatsura Movie 3: Remember My Love,School Rumble Ni Gakki
1347,Chijoku Kankin,Ikkitousen: Shuugaku Toushi Keppuuroku,Mou Hitotsu no Nijiiro Toshi,Memories: Younenki no Joukei
1348,Milkyway,Akiba-chan,Ghost in the Shell: Nyuumon Arise,Ane Kyun!: Joshi ga Ie ni Kita!
1349,Reiju Gakuen,Heisei Jogakuen Kagai Lesson,Mitsu x Mitsu Drops,Detective Conan OVA 05: The Target is Kogoro! The Detective Boys&#039; Secret Investigation
1350,Soukan Rensa,Hana to Hebi The Animation,"Watashi wa, Kairaku Izonshou",Kyouhaku II (Second): Mou Hitotsu no Ashita The Animation
1351,Uchiyama Aki,Fate/kaleid liner Prisma☆Illya 2wei! OVA,Eguchi Hisashi no Kotobuki Gorou Show,Trouble Evocation
1352,Inko,Bakunyuu Maid Kari,Mune Kyun! Heartful Cafe,Rec: Yurusarezarumono
1353,Nankyoku 28 Gou,Tonari no Oneesan,Oni Chichi: Re-born,Ane Log: Moyako Neesan no Tomaranai Monologue
1354,Yukiyo Ichiya Monogatari,Ane Jiru 2 The Animation: Shirakawa Sanshimai ni Omakase,Natsuyuki Rendezvous,Dragon Rider
1355,Zoku Gosenzo San&#039;e,Last Exile: Ginyoku no Fam Recaps,Tenpou Ibun: Ayakashi Ayashi - Ayashi Shinkyoku,Shin Mashin Eiyuuden Wataru Majinzan
1356,Binetsu Shoukougun,Heisei Jogakuen Kagai Lesson,Kokoro Toshokan,Kiss yori...
1357,Bishoujo Comic Lolicon Angel: Mitsu no Aji,Kara no Shoujo,Kamikaze Kaitou Jeanne,Sukeban Deka
1358,Dousou Kai Again,Maria-sama ga Miteru: Haru,"New Game!: Watashi, Shain Ryokou tte Hajimete nano de...",K-On! Movie
1359,Fruits Version,Osananajimi to Doukyuusei,Hi.Me.Go.To,Hissatsu Chikan Nin
1360,Jokutsuma,Inmu 2,Korashime,Datenshi-tachi no Kyouen
1361,Karakara-sama no Himitsu,Natsu-iro no Sunadokei,Yakin Byoutou Ni,Netoraserare
1362,Kowaremono,Moldiver,Miss Monochrome: The Animation,Happy ComeCome
1363,Tokubetsu Jugyou 2,Discipline,Futabu!,Stretta The Animation
1364,Keibiin,Lupin III: Alcatraz Connection,Enzai,Detective Conan OVA 07: A Challenge from Agasa! Agasa vs. Conan and the Detective Boys
1365,Mugen no Kyoukai,The Satisfaction,Yume Tsukai,Maou Dante
1366,Shounen Maid Kuuro-kun: Tenshi no Uta,Hayate no Gotoku!,Okane ga Nai,Gyakkyou Burai Kaiji: Hakairoku-hen
1367,Isaku,Nintama Rantarou Movie: Ninjutsu Gakuen Zenin Shutsudou! no Dan,Bocchan,Yamada-kun to 7-nin no Majo (TV)
1368,Utsukushiki Sei no Dendoushi Reirei,Shusaku Replay,Ten Little Gall Force,Inmu 2
1369,Akebi no Hana: Maho,Kowaremono The Animation,Zetsuen no Tempest,True Blue: Gaiden
1370,BaBuKa: Gokudou no Tsuma,Mrs. Junkie,Kodomo no Kaitei no Koto,"Suki de Suki de, Suki de The Animation"
1371,Castle Fantasia: Seima Taisen,Gakuen no Shuryousha,Sekai Meisaku Douwa: Hakuchou no Ouji,Gibo no Toiki: Haitoku Kokoro ni Tadayou Haha no Iroka
1372,Hana Dorei,Tokubetsu Jugyou,Suika,Binetsukko ♭37℃ The Animation
1373,Ijoku,Dorei Kaigo,Anata no Shiranai Kangofu: Seiteki Byoutou 24 Ji,Utsukushiki Sei no Dendoushi Reirei
1374,Sukeban Shoukai Cutie Lemon,Kick Off 2002,Manga Hajimete Omoshiro Juku,Manga Doushite Monogatari
1375,Dokusen,Kanojo wa Dare to demo Sex Suru.,Joshidai: Ecchi Soudanshitsu,Soredemo Tsuma wo Aishiteru
1376,Gakuen no Ikenie: Nagusami Mono to Kashita Kyonyuu Furyou Shoujo,Violence Jack: Harlem Bomber-hen,Shoujo Senki Soul Eater,Kyouhaku II (Second): Mou Hitotsu no Ashita The Animation
1377,Ikusa Otome Valkyrie Specials,Shinryaku! Ika Musume: Ika Ice Tabena-ika?,Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials,Seitokai Yakuindomo* OVA
1378,Injuu Kyoushi,Injuu Gakuen EX,Tsubasa to Hotaru,Battle Athletess Daiundoukai (TV)
1379,Princess Memory,Harumi-chan no Oita,Kowaku no Toki,Koihime
1380,Shoujo Senki Brain Jacker,Harukoi Otome,Imakara Atashi......,Toufu Kozou
1381,Tsuki Kagerou,Kunoichi Sakuya,Enkou Shoujo: Rikujoubu Yukki no Baai The Animation,Reijoku no Yakata
1382,Yakin Byoutou Specials,Kyousou Giga (TV) Recaps,Kore wa Zombie Desu ka? OVA,Girls und Panzer: Shoukai Shimasu!
1383,Yunyun☆Paradise,Gakuen Maria: Bakunyuu Teachers,Pandra The Animation: Shiroki Yokubou Kuro no Kibou,Spiral Over
1384,Kimi ga Nozomu Eien,Sakura Trick,Otome Dori,Suki ni Naru Sono Shunkan wo.: Kokuhaku Jikkou Iinkai
1385,Kiniro Mosaic,Aoi Hana,Mama wa Shougaku 4 Nensei,Kimi ga Aruji de Shitsuji ga Ore de
1386,Konjiki no Gash Bell!!: 101 Banme no Mamono,Mushishi Zoku Shou: Suzu no Shizuku,Heartcatch Precure!,Aesop&#039;s World
1387,Maria-sama ga Miteru 4th Specials,Maria-sama ga Miteru Specials,Utawarerumono Recaps,Papa no Iukoto wo Kikinasai!: Pokkapoka
1388,Masuda Kousuke Gekijou Gag Manga Biyori +,Aitsu to Lullaby: Suiyobi no Cinderella,Namakemono ga Miteta,Ogami Matsugorou
1389,Minami-ke Okawari,Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu,Seitokai Yakuindomo OVA,D.C.S.S: Da Capo Second Season Omake
1390,Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer,The Sky Crawlers,Bomberman Jetters,Dragon Ball Super
1391,Myself; Yourself,Kimi no Iru Machi,Ore no Imouto ga Konnani Kawaii Wake ga Nai.,Ane Yome Quartet
1392,Noir,Ninja Ryuukenden,Kizumonogatari I: Tekketsu-hen,Code:Breaker
1393,One Piece: Episode of Alabasta - Prologue,Houkago no Pleiades: Manner Movie,Inui-san!,Kara no Kyoukai: Mirai Fukuin - Manner Movie
1394,Petshop of Horrors,xxxHOLiC Kei,Devil May Cry,Detective Conan Movie 10: Requiem of the Detectives
1395,Plastic Neesan,Azumanga Daioh,Attacker You!,Haai Step Jun
1396,Potemayo,Kimi ni Todoke,Shibai Taroka,Tantei Team KZ Jiken Note
1397,Precure All Stars Movie DX: Minna Tomodachi☆Kiseki no Zenin Daishuugou!,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,D-Frag! OVA,Wanna-Be&#039;s
1398,Rail of the Star: A True Story of Children,Girls und Panzer der Film,Hadashi no Gen,Final Approach
1399,Saiunkoku Monogatari Soushuuhen,Baka to Test to Shoukanjuu: Matsuri,Hakuouki Hekketsuroku Episode 0,Aoki Ryuusei SPT Layzner OVA
1400,Selector Infected WIXOSS,Soukan Yuugi,Happy Seven: The TV Manga,Angelique: Shiroi Tsubasa no Memoire
1401,Slayers Great,Kono Subarashii Sekai ni Shukufuku wo! 2,Zero no Tsukaima: Princesses no Rondo,Himekishi Lilia
1402,Souten Kouro,Manga Nippon Mukashibanashi (1976),Highschool Aurabuster: Hikari no Mezame,Nezha Nao Hai
1403,Tabisuru Nuigurumi: Traveling Daru,Tantei Opera Milky Holmes: Summer Special,Kowaremono: Risa The Animation,Magic Knight Rayearth II
1404,Tenchi Muyou! Ryououki 3rd Season,Chikyuu Bouei Kazoku,City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,Galaxy Angel 3
1405,"The iDOLM@STER Cinderella Girls: Anytime, Anywhere with Cinderella.",Kuusen Madoushi Kouhosei no Kyoukan OVA,Date A Live: Date to Date,Sugar Bunnies Chocolate! Specials
1406,Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,Erementar Gerad: Aozora no Senki,Nurarihyon no Mago: Jump Super Anime Tour Special,Natsume Yuujinchou: Nyanko-sensei to Hajimete no Otsukai
1407,Canaan,Sengoku Majin Goushougun: Toki no Etranger,Ninja Ryuukenden,Taiho Shichau zo
1408,Cardfight!! Vanguard: Link Joker-hen,Yu☆Gi☆Oh!: Duel Monsters GX,Starmyu 2nd Season,Stella Jogakuin Koutou-ka C³-bu
1409,Choujigen Game Neptune The Animation OVA,Recorder to Randoseru Mi☆ Special,Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!,Koi to Senkyo to Chocolate Special
1410,Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,Visionary,Binkan Athlete,Kininaru Kimochi
1411,Digimon Adventure 02: Diablomon no Gyakushuu,Digimon Adventure: Bokura no War Game!,Ishinomori Shoutarou no Rekishi Adventure,Duel Masters VSRF
1412,Dimension W: W no Tobira Online,Teekyuu 2 Specials,Hibike! Euphonium: Suisougaku-bu no Nichijou,Grisaia no Rakuen Specials
1413,Doraemon Movie 01: Nobita no Kyouryuu,Doraemon Movie 01: Nobita no Kyouryuu,Omae Umasou da na,Ushio to Tora
1414,Dragon Ball Super,Tengen Toppa Gurren Lagann Movie: Lagann-hen,Dragon Ball Z Movie 14: Kami to Kami,Project BLUE Chikyuu SOS
1415,Dragon Ball: Episode of Bardock,Salamander,Mobile Suit Gundam 0083: Stardust Memory,Bakugan Battle Brawlers: Mechtanium Surge
1416,Harukanaru Toki no Naka de: Maihitoyo,Hotarubi no Mori e,Itadaki! Seieki♥,Kashimashi: Girl Meets Girl
1417,Ihatov Gensou: Kenji no Haru,Zakuro Yashiki,Miyamoto Musashi: Souken ni Haseru Yume,Sekishoku Elegy
1418,Inukami!,Koi Kaze,Mozu no Nie,Hika Ryoujoku: Wana ni Hamatta Futari
1419,Irregular Hunter X: The Day of Sigma,Persona 3 the Movie 3: Falling Down,Mobile Suit Gundam 0083: Stardust Memory,Saraba Uchuu Senkan Yamato: Ai no Senshi-tachi
1420,Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,Sakura Quest,X,Ichiban Ushiro no Daimaou
1421,Mai-Otome,Battle Athletess Daiundoukai (TV),Hidamari Sketch x Honeycomb,Hidan no Aria AA
1422,Masuda Kousuke Gekijou Gag Manga Biyori,Piroppo,Sekai Meisaku Douwa: Aladdin to Mahou no Lamp,Crayon Shin-chan
1423,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?: Onsen Manyuuki,Futabu!!,Onegai My Melody: Yuu &amp; Ai,Mame-Mofu Collab Animation
1424,Musashi no Ken,Busou Shinki Moon Angel,Mashin Eiyuuden Wataru: Owarinaki Toki no Monogatari,Hermes: Ai wa Kaze no Gotoku
1425,Natsu no Arashi!,Stop!! Hibari-kun!,Yumedamaya Kidan,Rizelmine
1426,Nazo no Kanojo X,Bokura ga Ita,Fella Pure: Mitarashi-san Chi no Jijou The Animation,Kara no Kyoukai Remix: Gate of Seventh Heaven
1427,Nogizaka Haruka no Himitsu: Finale,First Kiss Monogatari,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",Enyoku
1428,Onegai My Melody: Kuru Kuru Shuffle!,Onegai♪My Melody Kirara★,Shin Dokonjou Gaeru,Gon 2nd Season
1429,Pokemon Advanced Generation: Mew to Hadou no Yuusha Lucario,Tu Xia Zhi Qing Li Chuanshuo,Duel Masters,Mashin Eiyuuden Wataru 2
1430,Ramayana: The Legend of Prince Rama,Dragon Knight 4,Shenmi Shijie Lixian Ji 2,Uchouten Kazoku 2
1431,Rockman.EXE Movie: Hikari to Yami no Program,Senyuu. 2,Dragon Ball Super,Shingetsutan Tsukihime
1432,Seitokai no Ichizon Lv.2: Watasu Seitokai,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga. OVA",Sankarea OVA,Kimi no Iru Machi OVA
1433,Sekirei,To LOVE-Ru,Haiyore! Nyaruko-san,High School DxD
1434,Sekirei: Pure Engagement - Kanwa ni Dai,Mini Van Special,Wakaba*Girl: Onsen Tsukaritai,Gokukoku no Brynhildr Special
1435,Senjou no Valkyria 3: Tagatame no Juusou,Code Geass: Boukoku no Akito Final - Itoshiki Monotachi e,Mobile Suit Gundam Seed Destiny,Mobile Suit Gundam MS IGLOO 2: Gravity of the Battlefront
1436,Tetsuwan Birdy Decode: The Cipher,Renai Boukun,Urusei Yatsura Movie 3: Remember My Love,Mobile Suit SD Gundam Mk II
1437,The Sky Crawlers,Bomberman Jetters,Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer,Macross II: Lovers Again
1438,The Third: Aoi Hitomi no Shoujo,Nana Toshi Monogatari: Hokkyokukai Sensen,Captain Harlock,Godzilla
1439,Vampire Knight,Omamori Himari,Black Blood Brothers,Rosario to Vampire Capu2
1440,Witchblade,Yakusai Kochou,Mahou Shoujo Elena,Ai City
1441,Wonderful Rush,Music S.T.A.R.T!!,Mo Gyutto Love de Sekkinchuu!,Love Live! School Idol Project OVA
1442,After War Gundam X,Nana Toshi Monogatari: Hokkyokukai Sensen,Mobile Suit Gundam Wing,Chokkyuu Hyoudai Robot Anime: Straight Title
1443,Air Movie,Kijoku: Princess Double Kari,Ane☆Haramix,Nurarihyon no Mago: Sennen Makyou
1444,Atashin&#039;chi,Shin Atashin&#039;chi,Tsuyoshi Shikkari Shinasai,Sazae-san
1445,Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club,Nyancos: Hello! Our Brilliant Future Digest,Bishoujo Senshi Sailor Moon Memorial,Seikai no Senki Special
1446,Doraemon Movie 17: Nobita to Ginga Express,Taabou no Ryuuguusei Daitanken,Kanzen Shouri Daiteiou,Hoshi no Kirby
1447,Doraemon: 2112-nen Doraemon Tanjou,Silent Mobius 2,Himitsukessha Taka no Tsume Gaiden: Mukashi no Yoshida-kun,Ginga Tetsudou 999: Eternal Fantasy
1448,Doraemon: Doraemon Comes Back,Pichiko Dakyuubu,Sore Ike! Anpanman: Rhythm de Teasobi - Anpanman to Fushigi na Parasol,Itazura Post
1449,Druaga no Tou: The Sword of Uruk,Koisuru Tenshi Angelique: Kagayaki no Ashita,Shining Tears X Wind,G-9
1450,Fate/kaleid liner Prisma☆Illya 2wei Herz!,Fate/kaleid liner Prisma☆Illya 2wei! OVA,Kaibutsu-kun: Kaibutsu Land e no Shoutai,Trouble Evocation
1451,Fullmetal Alchemist: Reflections,Xabungle Graffiti,Ookami Shoujo to Kuro Ouji Recap,Candy Candy: Candy no Natsu Yasumi
1452,Genius Party,Sasuga no Sarutobi,Ikkitousen,Clover 4/3
1453,Genius Party Beyond,Scramble Wars: Tsuppashire! Genom Trophy Rally,Sekai no Fushigi Tanken Series,Bara no Hana to Joe
1454,Gosenzo-sama Banbanzai!,Bijukubo,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga.",Les Misérables: Shoujo Cosette
1455,H2,Nine,Touch: Cross Road - Kaze no Yukue,"Momoko, Kaeru no Uta ga Kikoeru yo."
1456,Haha wo Tazunete Sanzenri,Oni Chichi: Re-born,Marco: Haha wo Tazunete Sanzenri,Kanon
1457,Haikara-san ga Tooru,"Marriage Blue: &quot;Konyakusha ga Iru no ni, Doushite Konna Otoko ni......&quot;",Rizelmine,Nodame Cantabile
1458,Hunter x Hunter Movie: Phantom Rouge,Kamui no Ken,Tokyo Ghoul: &quot;Jack&quot;,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou
1459,Kaidan Restaurant,Cluster Edge Specials,Indie Anibox: Selma Danbaekjil Coffee,Gokyoudai Monogatari
1460,Koutetsujou no Kabaneri,Shingeki no Kyojin,I: Wish You Were Here,God Eater
1461,Kuroshitsuji Picture Drama,Issunboushi: Chibisuke Monogatari,Itoshi no Betty Mamonogatari,Devilman: Tanjou-hen
1462,Machine-Doll wa Kizutsukanai,Chou Kousoku Galvion,Knight&#039;s &amp; Magic,Break-Age
1463,Monster Musume no Iru Nichijou,Stainless Night,Neo Ranga,Key the Metal Idol
1464,Nyan Koi!,Stand By Me Doraemon,Hanappe Bazooka,Sekirei
1465,Ookiku Furikabutte: Natsu no Scorebook,Dennou Coil Recaps,Honoo no Alpenrose,Takarajima (Movie)
1466,Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,Shoujo Senki Soul Eater,Ristorante Paradiso,Bao Lian Deng
1467,Ranma ½: Nettou Uta Gassen,Transformers Superlink Special,Bokura no Saibanin Monogatari,Love Live! Sunshine!!
1468,Rumiko Takahashi Anthology,Ansatsu Kyoushitsu (TV) 2nd Season: Kagaijugyou-hen,Fate/Zero Remix,Date A Live: Date to Date
1469,Saber Marionette J to X,Hagure Yuusha no Aesthetica,Rozen Maiden: Träumend,Houseki no Kuni
1470,Sankarea: Wagahai mo... Zombie de Aru...,Kyoufu! Zombie Neko,Punch Line,Kore wa Zombie Desu ka? of the Dead
1471,Shaman King Specials,Pokemon Housoukyoku,Pokemon: Bokutachi Pichu Brothers - Party wa Oosawagi! no Maki,Shuukan Storyland
1472,Slayers: The Motion Picture,Injuu Seisen: Twin Angels,Kami nomi zo Shiru Sekai II,Xanadu Dragonslayer Densetsu
1473,Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,Chibo,Marmalade Boy,Yakin Byoutou Ni
1474,The Rose and Women of Versailles,Glass no Kamen: Sen no Kamen wo Motsu Shoujo,Genei wo Kakeru Taiyou: Fumikomenai Kokoro,Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu
1475,Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,Doraemon Movie 22: Nobita to Tsubasa no Yuusha-tachi,Tsubasa Chronicle,Granblue Fantasy The Animation
1476,Abenobashi Mahou☆Shoutengai,D.N.Angel,Fullmetal Alchemist: Brotherhood,Sekirei
1477,Aggressive Retsuko,Chibi Maruko-chan Movie,Hana no Joshi Announcer: Newscaster Etsuko,Gi(a)rlish Number
1478,Angel Heart,Kara no Kyoukai 5: Mujun Rasen,Kamui no Ken,Kara no Kyoukai 1: Fukan Fuukei
1479,Area no Kishi,Whistle!,Akakichi no Eleven,Inazuma Eleven
1480,Ayashi no Ceres,Ringetsu The Animation,Karakara-sama no Himitsu,Da Yu Hai Tang
1481,Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi,Saimin Jutsu Zero Special,Mahou no Yousei Persia Pilot,Ore no Imouto ga Konnani Kawaii Wake ga Nai.: SD Chara ni Yoru Short Movie
1482,Bakemonogatari Recap,Canaan: Minorikawa Report 201X Shanghai,Channel 5.5 Prologue: Shin Bangumi Start!,Code Geass: Hangyaku no Lelouch Recaps
1483,Basquash!,Tetsuwan Atom: Chikyuu Saigo no Hi,Buzzer Beater 2nd Season,Robot King
1484,Sanzoku no Musume Ronja,Majokko Shimai no Yoyo to Nene,Tonari no Totoro,Urara Meirochou
1485,Shakugan no Shana III (Final) Specials,Shakugan no Shana II (Second) Specials,To LOVE-Ru Darkness 2nd Specials,Shakugan no Shana S Specials
1486,Shakugan no Shana Movie Special,Harukanaru Toki no Naka de: Hachiyou Shou Recap,Shin Koihime†Musou: Otome Tairan OVA Omake,Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie Lite
1487,Shin Hakkenden,Akuma Tou no Prince: Mitsume ga Tooru,Fuuun Ishin Dai☆Shogun,The Last: Naruto the Movie
1488,Suisei no Gargantia Specials,Otome Youkai Zakuro Picture Drama,Lupin III (2015) Specials,Shokupan Mimi Specials
1489,Tales of Symphonia The Animation: Tethe&#039;alla-hen Specials,Yuru Yuri San☆Hai!,High School DxD BorN: Ishibumi Ichiei Kanzen Kanshuu! Mousou Bakuyou Kaijo Original Video,Cinnamon the Movie
1490,Tenchi Muyou! GXP,Finder Series,Erementar Gerad,Gungrave
1491,Tengen Toppa Gurren Lagann: Kirameki★Yoko Box - Pieces of Sweet Stars,Fuki to Hiyoko,Ashita e Mukau Hito,Minami no Kuni kara Kita Tegami
1492,Ai Yori Aoshi,Osananajimi to Doukyuusei,Asatte no Houkou.,School Days
1493,Black★Rock Shooter (OVA),Bokura ga Ita,Kimi ni Todoke 2nd Season,Kimi to Boku.
1494,Bosco Daibouken,Mafukiden: Pandarian,Yes! Precure 5 GoGo! Movie: Okashi no Kuni no Happy Birthday,Gou-chan. Moko to Chinjuu no Mori no Nakama-tachi
1495,Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu Picture Drama,Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku Kara Picture Drama,Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie Lite,Code Geass: Boukoku no Akito Final - Itoshiki Monotachi e Picture Drama
1496,Dae Jang Geum: Jang Geum&#039;s Dream,Bannou Bunka Neko-Musume DASH!,Koufuku Graffiti,Miracle! Mimika
1497,Dantalian no Shoka: Ibarahime,Seikon no Qwaser,Mikagura Tanteidan,Tasogare Otome x Amnesia
1498,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,Tokyo Ghoul: &quot;Jack&quot;,Naruto: The Cross Roads,Slayers
1499,Final Fantasy VII: On the Way to a Smile - Episode: Denzel,Shan T Lao Fu Zi,Guskou Budori no Denki (2012),Final Fantasy VII: Last Order
1500,Gakuen Senki Muryou,UFO Gakuen no Himitsu,RahXephon,Top wo Nerae! Gunbuster
1501,Gakuen Utopia Manabi Straight! Special,IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou,Enbi,Uta Kata
1502,Ibara no Ou,Mushrambo (2008),Hanbun no Tsuki ga Noboru Sora,Amnesia
1503,IGPX: Immortal Grand Prix (2005),Scan2Go,Red Baron,Duel Masters VSR
1504,Kodomo no Omocha,Himitsukessha Taka no Tsume Gaiden: Mukashi no Yoshida-kun,Bokura no Saibanin Monogatari,Gokyoudai Monogatari
1505,Konjiki no Gash Bell!!: Mecha Vulkan no Raishuu,Gag Manga Biyori: Jump Festa 2002 Special,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.
1506,"Kono Danshi, Sekika ni Nayandemasu.",Fukigen na Mononokean,Zero no Tsukaima,Tonari no Seki-kun
1507,Kyuuketsuhime Miyu (TV),Himiko-den,Shihaisha no Tasogare,Chou Henshin Cosprayers
1508,Mahou Senshi Louie,Houkago Midnighters,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,Flip Flappers
1509,Mahou Shoujo-tai Arusu,Mahou Shoujo Lalabel,Mahoutsukai Sally 2,Okusama wa Mahoutsukai
1510,Mobile Suit Gundam: The 08th MS Team - A Battle with the Third Dimension,Street Fighter: Aratanaru Kizuna,Manie-Manie: Meikyuu Monogatari,Mobile Suit Gundam 0083: Stardust Memory
1511,Monkey Punch: Manga Katsudou Daishashin,Aoki Hagane no Arpeggio: Ars Nova - Kirikumas,Panda no Taputapu,Maken Liner 0011 Henshin Seyo!
1512,Mouretsu Pirates,Plastic Little,Cosmic Fantasy: Ginga Me Hyou no Wana,Onegai☆Teacher
1513,Mudai,Hinata no Aoshigure,Canvas: Sepia-iro no Motif,Tori no Uta
1514,Pokemon Sun &amp; Moon,Pokemon XY,Pokemon: Mizu no Miyako no Mamorigami Latias to Latios,Pokemon Crystal: Raikou Ikazuchi no Densetsu
1515,Qin Shiming Yue Zhi: Ye Jin Tianming,Toushou Daimos,Accel World EX,Giniro no Kami no Agito
1516,RD Sennou Chousashitsu,Ghost in the Shell,Burn Up Scramble,Rokushin Gattai GodMars (1982)
1517,Rosario to Vampire Capu2,Juuou Mujin no Fafnir,Hiiro no Kakera,Kannazuki no Miko
1518,Shadow Skill: Eigi,Shadow Skill: Kurudaryuu Kousatsuhou no Himitsu,Taboo Tattoo,Fate/stay night: Unlimited Blade Works
1519,Toaru Hikuushi e no Koiuta,Galactic Patrol Lensman,Granblue Fantasy The Animation,Persona 3 the Movie 3: Falling Down
1520,Unico: Mahou no Shima e,Sore Ike! Anpanman: Inochi no Hoshi no Dolly,Rozen Maiden: Ouvertüre,Paul no Miracle Daisakusen
1521,Urayasu Tekkin Kazoku,Osomatsu-kun (1988),Lu Shidai 2nd Season,Danshi Koukousei no Nichijou
1522,Wasurenagumo,Tokyo Ghoul,Juubee Ninpuuchou,Kyouran Kazoku Nikki
1523,YAT Anshin! Uchuu Ryokou,Doraemon Movie 20: Nobita no Uchuu Hyouryuuki,YAT Anshin! Uchuu Ryokou 2,Wakusei Robo Danguard Ace
1524,Yuugo: Koushounin,Time Bokan Series: Gyakuten Ippatsuman,Audition,Ali Baba to 40-hiki no Touzoku
1525,Asura,Bakemono no Ko,Fushigi Yuugi Special: Nakago Shikkari Shinasai!,Hadashi no Gen
1526,Bokura wa Minna Kawaisou Specials,Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu OVA,Guilty Crown: 4-koma Gekijou,Upotte!! OVA
1527,Concrete Revolutio: Choujin Gensou - The Last Song,Kiddy Grade,Sousei no Onmyouji,Transformers: Choujin Master Force
1528,Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,Project A-Ko 2: Daitokuji Zaibatsu no Inbou,Project A-Ko 3: Cinderella Rhapsody,Katta-kun Monogatari
1529,Cyborg 009 (1979),Cyborg 009 (TV),009 Re:Cyborg,Nerawareta Megami Tenshi Angeltia: Mamotta Ningentachi ni Uragirarete
1530,Digimon Adventure 02 Movies,Kamui no Ken,Cutey Honey F,Kussetsu
1531,Dirty Pair OVA,Dirty Pair Flash 2,Time Bokan Series: Time Patroltai Otasukeman,Tentai Senshi Sunred
1532,Doraemon Movie 16: Nobita no Sousei Nikki,Nintama Rantarou Movie: Ninjutsu Gakuen Zenin Shutsudou! no Dan,Kagewani,Kokoro Connect: Michi Random
1533,GA: Geijutsuka Art Design Class,Anne Happy♪,Hidamari Sketch x SP,Hidamari Sketch
